11:52:11; legoDBuddy; [-21, -13]
11:52:16; legoDBuddy; [-21, -14]
11:52:21; legoDBuddy; [-21, -14]
11:52:26; legoDBuddy; [-21, -14]
11:52:31; legoDBuddy; [-21, -14]
11:52:36; legoDBuddy; [-21, -14]
11:52:41; legoDBuddy; [-21, -14]
11:52:46; legoDBuddy; [-21, -14]
11:52:51; legoDBuddy; [-21, -14]
11:52:56; legoDBuddy; [-21, -14]
11:53:01; legoDBuddy; [-20, -13]
11:53:06; legoDBuddy; [-16, -8]
11:53:11; legoDBuddy; [-16, -8]
11:53:16; legoDBuddy; [-16, -8]
11:53:21; legoDBuddy; [-16, -8]
11:53:26; legoDBuddy; [-16, -8]
11:53:31; legoDBuddy; [-16, -8]
11:53:36; legoDBuddy; [-17, -8]
11:53:41; legoDBuddy; [-17, -8]
11:53:46; legoDBuddy; [-16, -8]
11:53:51; legoDBuddy; [-16, -7]
11:53:56; legoDBuddy; [-17, -8]
11:54:01; legoDBuddy; [-16, -8]
11:54:06; legoDBuddy; [-18, -11]
11:54:11; legoDBuddy; [-21, -13]
11:54:16; legoDBuddy; [-21, -14]
11:54:21; legoDBuddy; [-20, -13]
11:54:26; legoDBuddy; [-18, -13]
11:54:31; legoDBuddy; [-15, -13]
11:54:36; legoDBuddy; [-15, -13]
11:54:41; legoDBuddy; [-15, -13]
11:54:46; legoDBuddy; [-15, -13]
11:54:51; legoDBuddy; [-15, -13]
11:54:56; legoDBuddy; [-15, -12]
11:55:01; legoDBuddy; [-15, -11]
11:55:06; legoDBuddy; [-15, -7]
11:55:11; legoDBuddy; [-15, -3]
11:55:16; legoDBuddy; [-18, 1]
11:55:21; legoDBuddy; [-19, 3]
11:55:26; legoDBuddy; [-20, 3]
11:55:31; legoDBuddy; [-20, 3]
11:55:36; legoDBuddy; [-20, 2]
11:55:41; legoDBuddy; [-20, 2]
11:55:46; legoDBuddy; [-20, 2]
11:55:51; legoDBuddy; [-20, 2]
11:55:56; legoDBuddy; [-20, 2]
11:56:01; legoDBuddy; [-20, 2]
11:56:06; legoDBuddy; [-20, 2]
11:56:11; legoDBuddy; [-20, 2]
11:56:16; legoDBuddy; [-20, 2]
11:56:21; legoDBuddy; [-20, 2]
11:56:26; legoDBuddy; [-20, 2]
11:56:31; legoDBuddy; [-20, 2]
11:56:36; legoDBuddy; [-21, 2]
11:56:41; legoDBuddy; [-20, 2]
11:56:46; legoDBuddy; [-21, 2]
11:56:51; legoDBuddy; [-21, 2]
11:56:56; legoDBuddy; [-20, 3]
11:57:01; legoDBuddy; [-21, 3]
11:57:06; legoDBuddy; [-20, 3]
11:57:11; legoDBuddy; [-18, 1]
11:57:16; legoDBuddy; [-18, -4]
11:57:21; legoDBuddy; [-20, -12]
11:57:26; legoDBuddy; [-21, -13]
11:57:31; legoDBuddy; [-21, -13]
11:57:36; legoDBuddy; [-21, -14]
11:57:41; legoDBuddy; [-21, -14]
11:57:46; legoDBuddy; [-21, -14]
11:57:51; legoDBuddy; [-21, -14]
11:57:56; legoDBuddy; [-21, -14]
11:58:01; legoDBuddy; [-21, -14]
11:58:06; legoDBuddy; [-21, -14]
11:58:11; legoDBuddy; [-21, -13]
11:58:16; legoDBuddy; [-18, -13]
11:58:21; legoDBuddy; [-18, -12]
11:58:26; legoDBuddy; [-17, -12]
11:58:31; legoDBuddy; [-16, -12]
11:58:36; legoDBuddy; [-16, -14]
11:58:41; legoDBuddy; [-15, -14]
11:58:46; legoDBuddy; [-15, -14]
11:58:51; legoDBuddy; [-15, -14]
11:58:56; legoDBuddy; [-16, -14]
11:59:01; legoDBuddy; [-17, -14]
11:59:06; legoDBuddy; [-18, -14]
11:59:11; legoDBuddy; [-18, -14]
11:59:16; legoDBuddy; [-20, -13]
11:59:21; legoDBuddy; [-21, -13]
11:59:26; legoDBuddy; [-21, -13]
11:59:31; legoDBuddy; [-21, -13]
11:59:36; legoDBuddy; [-20, -13]
11:59:41; legoDBuddy; [-17, -14]
11:59:46; legoDBuddy; [-16, -15]
12:13:26; legoDBuddy; [-16, -15]
12:13:31; legoDBuddy; [-16, -15]
12:13:36; legoDBuddy; [-15, -15]
12:13:41; legoDBuddy; [-18, -14]
12:13:46; legoDBuddy; [-21, -13]
12:13:51; legoDBuddy; [-21, -14]
12:13:56; legoDBuddy; [-21, -14]
12:14:01; legoDBuddy; [-21, -14]
12:14:06; legoDBuddy; [-21, -14]
12:14:11; legoDBuddy; [-21, -14]
12:14:16; legoDBuddy; [-21, -13]
12:14:21; legoDBuddy; [-21, -13]
12:14:26; legoDBuddy; [-21, -13]
12:14:31; legoDBuddy; [-21, -13]
12:14:36; legoDBuddy; [-21, -13]
12:14:41; legoDBuddy; [-21, -14]
12:14:46; legoDBuddy; [-21, -13]
12:14:51; legoDBuddy; [-21, -14]
12:14:56; legoDBuddy; [-21, -14]
12:15:01; legoDBuddy; [-21, -14]
12:15:06; legoDBuddy; [-21, -14]
12:15:11; legoDBuddy; [-21, -14]
12:15:16; legoDBuddy; [-21, -14]
12:15:21; legoDBuddy; [-21, -13]
12:15:26; legoDBuddy; [-21, -14]
12:15:31; legoDBuddy; [-21, -14]
12:15:36; legoDBuddy; [-19, -13]
12:15:41; legoDBuddy; [-19, -12]
12:15:46; legoDBuddy; [-19, -10]
12:15:51; legoDBuddy; [-19, -12]
12:15:56; legoDBuddy; [-19, -13]
12:16:01; legoDBuddy; [-19, -11]
12:16:06; legoDBuddy; [-19, -11]
12:16:11; legoDBuddy; [-19, -9]
12:16:16; legoDBuddy; [-17, -5]
12:16:21; legoDBuddy; [-17, 0]
12:16:26; legoDBuddy; [-18, 2]
12:16:31; legoDBuddy; [-20, 3]
12:16:36; legoDBuddy; [-20, 2]
12:16:41; legoDBuddy; [-20, 2]
12:16:46; legoDBuddy; [-21, 2]
12:16:51; legoDBuddy; [-21, 2]
12:16:56; legoDBuddy; [-21, 2]
12:17:01; legoDBuddy; [-21, 2]
12:17:06; legoDBuddy; [-21, 2]
12:17:11; legoDBuddy; [-21, 2]
12:17:16; legoDBuddy; [-21, 2]
12:17:21; legoDBuddy; [-21, 2]
12:17:26; legoDBuddy; [-21, 2]
12:17:31; legoDBuddy; [-21, 2]
12:17:36; legoDBuddy; [-21, 2]
12:17:41; legoDBuddy; [-21, 2]
12:17:46; legoDBuddy; [-21, 2]
12:17:51; legoDBuddy; [-21, 2]
12:17:56; legoDBuddy; [-21, 2]
12:18:01; legoDBuddy; [-21, 2]
12:18:06; legoDBuddy; [-21, 2]
12:18:11; legoDBuddy; [-21, 2]
12:18:16; legoDBuddy; [-21, 2]
12:18:21; legoDBuddy; [-21, 2]
12:18:26; legoDBuddy; [-21, 2]
12:18:31; legoDBuddy; [-21, 2]
12:18:36; legoDBuddy; [-21, 2]
12:18:41; legoDBuddy; [-21, 2]
12:18:46; legoDBuddy; [-21, 2]
12:18:51; legoDBuddy; [-21, 2]
12:18:56; legoDBuddy; [-21, 2]
12:19:01; legoDBuddy; [-21, 2]
12:19:06; legoDBuddy; [-21, 2]
12:19:11; legoDBuddy; [-21, 2]
12:19:16; legoDBuddy; [-20, 2]
12:19:21; legoDBuddy; [-20, 2]
12:19:26; legoDBuddy; [-20, 2]
12:19:31; legoDBuddy; [-21, 2]
12:19:36; legoDBuddy; [-21, 2]
12:19:41; legoDBuddy; [-20, 2]
12:19:46; legoDBuddy; [-20, 2]
12:19:51; legoDBuddy; [-20, 2]
12:19:56; legoDBuddy; [-20, 2]
12:20:01; legoDBuddy; [-20, 2]
21:56:07; Anip24; [-1, -137]
21:56:11; Anip24; [-1, -137]
21:56:16; Anip24; [-2, -138]
21:56:21; Anip24; [-2, -138]
21:56:26; Anip24; [-2, -138]
21:56:31; Anip24; [-2, -138]
21:56:36; Anip24; [-2, -138]
21:56:41; Anip24; [-2, -138]
21:56:46; Anip24; [-2, -139]
21:56:51; Anip24; [-1, -139]
21:56:56; Anip24; [-1, -139]
21:57:01; Anip24; [-1, -138]
21:57:06; Anip24; [-2, -138]
21:57:11; Anip24; [-2, -138]
