11:59:51; legoDBuddy; [-2, -1]
11:59:56; legoDBuddy; [-2, -2]
12:00:01; legoDBuddy; [-1, -1]
12:00:06; legoDBuddy; [-1, -2]
12:00:11; legoDBuddy; [-2, -2]
12:00:16; legoDBuddy; [-2, -1]
12:00:21; legoDBuddy; [-1, -1]
12:00:26; legoDBuddy; [0, 0]
12:00:31; legoDBuddy; [-1, -1]
12:00:36; legoDBuddy; [-1, -1]
12:00:41; legoDBuddy; [-1, -2]
12:00:46; legoDBuddy; [-1, -4]
12:00:51; legoDBuddy; [-1, -5]
12:00:56; legoDBuddy; [0, -6]
12:01:01; legoDBuddy; [0, -8]
12:01:06; legoDBuddy; [0, -8]
12:01:11; legoDBuddy; [0, -8]
12:01:16; legoDBuddy; [0, -8]
12:01:21; legoDBuddy; [0, -8]
12:01:26; legoDBuddy; [1, -8]
12:01:31; legoDBuddy; [2, -9]
12:01:36; legoDBuddy; [3, -11]
12:01:41; legoDBuddy; [4, -11]
12:01:46; legoDBuddy; [5, -11]
12:01:51; legoDBuddy; [6, -11]
12:01:56; legoDBuddy; [6, -11]
12:02:01; legoDBuddy; [6, -11]
12:02:06; legoDBuddy; [6, -11]
12:02:11; legoDBuddy; [6, -11]
12:02:16; legoDBuddy; [6, -11]
12:02:21; legoDBuddy; [6, -11]
12:02:26; legoDBuddy; [6, -11]
12:02:31; legoDBuddy; [6, -11]
12:02:36; legoDBuddy; [6, -11]
12:02:41; legoDBuddy; [6, -11]
12:02:46; legoDBuddy; [6, -11]
12:02:51; legoDBuddy; [6, -11]
12:02:56; legoDBuddy; [6, -11]
12:03:01; legoDBuddy; [6, -11]
12:03:06; legoDBuddy; [6, -11]
12:03:11; legoDBuddy; [7, -11]
12:03:16; legoDBuddy; [7, -11]
12:03:21; legoDBuddy; [6, -11]
12:03:26; legoDBuddy; [6, -11]
12:03:31; legoDBuddy; [6, -11]
12:03:36; legoDBuddy; [6, -11]
12:03:41; legoDBuddy; [6, -11]
12:03:46; legoDBuddy; [6, -10]
12:03:51; legoDBuddy; [6, -10]
12:03:56; legoDBuddy; [6, -10]
12:04:01; legoDBuddy; [6, -10]
12:04:06; legoDBuddy; [6, -10]
12:04:11; legoDBuddy; [6, -10]
12:04:16; legoDBuddy; [6, -9]
12:04:21; legoDBuddy; [6, -9]
12:04:26; legoDBuddy; [6, -9]
12:04:31; legoDBuddy; [6, -9]
12:04:36; legoDBuddy; [6, -9]
12:04:41; legoDBuddy; [6, -9]
12:04:46; legoDBuddy; [6, -9]
12:04:51; legoDBuddy; [6, -9]
12:04:56; legoDBuddy; [6, -8]
12:05:01; legoDBuddy; [6, -8]
12:05:06; legoDBuddy; [6, -8]
12:05:11; legoDBuddy; [6, -8]
12:05:16; legoDBuddy; [6, -8]
12:05:21; legoDBuddy; [6, -8]
12:05:26; legoDBuddy; [6, -7]
12:05:31; legoDBuddy; [6, -7]
12:05:36; legoDBuddy; [6, -7]
12:05:41; legoDBuddy; [6, -7]
12:05:46; legoDBuddy; [6, -7]
12:05:51; legoDBuddy; [6, -7]
12:05:56; legoDBuddy; [6, -7]
12:06:01; legoDBuddy; [6, -7]
12:06:06; legoDBuddy; [6, -7]
12:06:11; legoDBuddy; [6, -6]
12:06:16; legoDBuddy; [6, -6]
12:06:21; legoDBuddy; [6, -6]
12:06:26; legoDBuddy; [6, -6]
12:06:31; legoDBuddy; [6, -6]
12:06:36; legoDBuddy; [6, -6]
12:06:41; legoDBuddy; [6, -6]
12:06:46; legoDBuddy; [6, -6]
12:06:51; legoDBuddy; [6, -6]
12:06:56; legoDBuddy; [6, -6]
12:07:01; legoDBuddy; [6, -6]
12:07:06; legoDBuddy; [6, -6]
12:07:11; legoDBuddy; [6, -6]
12:07:16; legoDBuddy; [6, -6]
12:07:21; legoDBuddy; [6, -5]
12:07:26; legoDBuddy; [6, -5]
12:07:31; legoDBuddy; [6, -5]
12:07:36; legoDBuddy; [6, -5]
12:07:41; legoDBuddy; [6, -5]
12:07:46; legoDBuddy; [6, -5]
12:07:51; legoDBuddy; [6, -5]
12:07:56; legoDBuddy; [6, -5]
12:08:01; legoDBuddy; [6, -5]
12:08:06; legoDBuddy; [6, -5]
12:08:11; legoDBuddy; [6, -5]
12:08:16; legoDBuddy; [6, -5]
12:08:21; legoDBuddy; [6, -5]
12:08:26; legoDBuddy; [6, -4]
12:08:31; legoDBuddy; [6, -4]
12:08:36; legoDBuddy; [6, -4]
12:08:41; legoDBuddy; [6, -4]
12:08:46; legoDBuddy; [6, -4]
12:08:51; legoDBuddy; [6, -4]
12:08:56; legoDBuddy; [6, -4]
12:09:01; legoDBuddy; [6, -4]
12:09:06; legoDBuddy; [6, -3]
12:09:11; legoDBuddy; [6, -3]
12:09:16; legoDBuddy; [6, -3]
12:09:21; legoDBuddy; [6, -3]
12:09:26; legoDBuddy; [6, -3]
12:09:31; legoDBuddy; [6, -3]
12:09:36; legoDBuddy; [6, -3]
12:09:41; legoDBuddy; [6, -3]
12:09:46; legoDBuddy; [6, -3]
12:09:51; legoDBuddy; [6, -3]
12:09:56; legoDBuddy; [6, -2]
12:10:01; legoDBuddy; [6, -2]
12:10:06; legoDBuddy; [6, -3]
12:10:11; legoDBuddy; [6, -2]
12:10:16; legoDBuddy; [6, -2]
12:10:21; legoDBuddy; [6, -2]
12:10:26; legoDBuddy; [6, -2]
12:10:31; legoDBuddy; [6, -2]
12:10:36; legoDBuddy; [6, -3]
12:10:41; legoDBuddy; [6, -5]
12:10:46; legoDBuddy; [6, -7]
12:10:51; legoDBuddy; [6, -9]
12:10:56; legoDBuddy; [6, -10]
12:11:01; legoDBuddy; [6, -10]
12:11:06; legoDBuddy; [6, -10]
12:11:11; legoDBuddy; [5, -10]
12:11:16; legoDBuddy; [3, -10]
12:11:21; legoDBuddy; [1, -10]
12:11:26; legoDBuddy; [0, -9]
12:11:31; legoDBuddy; [0, -7]
12:11:36; legoDBuddy; [0, -7]
12:11:41; legoDBuddy; [0, -7]
12:11:46; legoDBuddy; [0, -7]
12:11:51; legoDBuddy; [0, -7]
12:11:56; legoDBuddy; [0, -7]
12:12:01; legoDBuddy; [0, -7]
12:12:06; legoDBuddy; [0, -5]
12:12:11; legoDBuddy; [0, -2]
12:12:16; legoDBuddy; [-2, -2]
12:12:21; legoDBuddy; [-2, -1]
12:12:26; legoDBuddy; [-1, -1]
12:12:31; legoDBuddy; [0, -1]
12:12:36; legoDBuddy; [1, -1]
12:12:41; legoDBuddy; [-1, -1]
12:12:46; legoDBuddy; [-1, -1]
12:12:51; legoDBuddy; [-1, -1]
12:12:56; legoDBuddy; [-1, -1]
12:13:01; legoDBuddy; [-1, -1]
12:13:06; legoDBuddy; [-1, -1]
12:13:11; legoDBuddy; [-1, -1]
12:13:16; legoDBuddy; [-1, -1]
12:13:21; legoDBuddy; [-2, -1]
