17:30:22; legoDBuddy; [-20, 2]
17:30:27; legoDBuddy; [-21, 2]
17:30:32; legoDBuddy; [-20, 3]
17:30:37; legoDBuddy; [-20, 3]
17:30:42; legoDBuddy; [-19, 2]
17:30:47; legoDBuddy; [-17, -1]
17:30:52; legoDBuddy; [-20, -4]
17:30:57; legoDBuddy; [-21, -13]
17:31:02; legoDBuddy; [-21, -13]
17:31:07; legoDBuddy; [-21, -13]
17:31:12; legoDBuddy; [-21, -13]
17:31:17; legoDBuddy; [-21, -13]
17:31:22; legoDBuddy; [-21, -13]
17:31:27; legoDBuddy; [-21, -13]
17:31:32; legoDBuddy; [-21, -13]
17:31:37; legoDBuddy; [-18, -13]
17:31:42; legoDBuddy; [-17, -11]
17:31:47; legoDBuddy; [-15, -9]
17:31:52; legoDBuddy; [-14, -8]
17:31:57; legoDBuddy; [-15, -8]
17:32:02; legoDBuddy; [-14, -8]
17:32:07; legoDBuddy; [-15, -8]
17:32:12; legoDBuddy; [-15, -8]
17:32:17; legoDBuddy; [-15, -8]
17:32:22; legoDBuddy; [-15, -7]
17:32:27; legoDBuddy; [-15, -8]
17:32:32; legoDBuddy; [-15, -7]
17:32:37; legoDBuddy; [-15, -7]
17:32:42; legoDBuddy; [-15, -7]
17:32:47; legoDBuddy; [-15, -7]
17:32:52; legoDBuddy; [-15, -7]
17:32:57; legoDBuddy; [-15, -8]
17:33:02; legoDBuddy; [-15, -8]
17:33:07; legoDBuddy; [-15, -8]
17:33:12; legoDBuddy; [-15, -8]
17:33:17; legoDBuddy; [-15, -7]
17:33:22; legoDBuddy; [-15, -7]
17:33:27; legoDBuddy; [-15, -8]
17:33:32; legoDBuddy; [-15, -7]
17:33:37; legoDBuddy; [-15, -8]
17:33:42; legoDBuddy; [-15, -7]
17:33:47; legoDBuddy; [-15, -7]
17:33:52; legoDBuddy; [-15, -8]
17:33:57; legoDBuddy; [-15, -7]
17:34:02; legoDBuddy; [-15, -7]
17:34:07; legoDBuddy; [-15, -8]
17:34:12; legoDBuddy; [-14, -8]
17:34:17; legoDBuddy; [-14, -8]
17:34:22; legoDBuddy; [-14, -8]
17:34:27; legoDBuddy; [-14, -8]
17:34:32; legoDBuddy; [-14, -8]
17:34:37; legoDBuddy; [-15, -8]
17:34:42; legoDBuddy; [-15, -8]
17:34:47; legoDBuddy; [-15, -7]
17:34:52; legoDBuddy; [-15, -7]
17:34:57; legoDBuddy; [-14, -8]
17:35:02; legoDBuddy; [-15, -8]
17:35:07; legoDBuddy; [-15, -10]
17:35:12; legoDBuddy; [-14, -11]
17:35:17; legoDBuddy; [-16, -13]
17:35:22; legoDBuddy; [-19, -13]
17:35:27; legoDBuddy; [-21, -13]
17:35:32; legoDBuddy; [-21, -14]
17:35:37; legoDBuddy; [-21, -14]
17:35:42; legoDBuddy; [-19, -12]
17:35:47; legoDBuddy; [-16, -12]
17:35:52; legoDBuddy; [-16, -12]
17:35:57; legoDBuddy; [-17, -13]
17:36:02; legoDBuddy; [-19, -13]
17:36:07; legoDBuddy; [-21, -13]
17:36:12; legoDBuddy; [-21, -13]
17:36:17; legoDBuddy; [-21, -14]
17:36:22; legoDBuddy; [-21, -14]
17:36:27; legoDBuddy; [-21, -14]
17:36:32; legoDBuddy; [-21, -14]
17:36:37; legoDBuddy; [-21, -13]
17:36:42; legoDBuddy; [-21, -13]
17:36:47; legoDBuddy; [-21, -13]
17:36:52; legoDBuddy; [-21, -13]
17:36:57; legoDBuddy; [-21, -14]
17:37:02; legoDBuddy; [-20, -13]
17:37:07; legoDBuddy; [-17, -14]
17:37:12; legoDBuddy; [-16, -14]
17:37:17; legoDBuddy; [-16, -15]
18:21:12; legoDBuddy; [-16, -15]
18:21:17; legoDBuddy; [-15, -15]
18:21:22; legoDBuddy; [-15, -15]
18:21:27; legoDBuddy; [-16, -14]
18:21:32; legoDBuddy; [-15, -14]
18:21:37; legoDBuddy; [-15, -14]
18:21:42; legoDBuddy; [-15, -14]
18:21:47; legoDBuddy; [-15, -14]
18:21:52; legoDBuddy; [-15, -14]
18:21:57; legoDBuddy; [-15, -14]
18:22:02; legoDBuddy; [-15, -14]
18:22:07; legoDBuddy; [-15, -14]
18:22:12; legoDBuddy; [-16, -14]
18:22:17; legoDBuddy; [-14, -13]
18:22:22; legoDBuddy; [-12, -12]
18:22:27; legoDBuddy; [-11, -12]
18:22:32; legoDBuddy; [-12, -12]
18:22:37; legoDBuddy; [-14, -12]
18:22:42; legoDBuddy; [-15, -13]
18:22:47; legoDBuddy; [-17, -13]
18:22:52; legoDBuddy; [-19, -14]
18:22:57; legoDBuddy; [-21, -13]
