20:39; Anip24; [-1, -1]
20:39:05; Anip24; [-1, -3]
20:39:10; Anip24; [-1, -5]
20:39:15; Anip24; [0, -7]
20:39:20; Anip24; [0, -9]
20:39:25; Anip24; [0, -11]
20:39:30; Anip24; [-1, -12]
20:39:35; Anip24; [-2, -13]
20:59:47; Anip24; [-2, -13]
20:59:51; Anip24; [-1, -12]
20:59:56; Anip24; [0, -11]
21:00:01; Anip24; [0, -9]
21:00:09; Anip24; [0, -6]
21:00:14; Anip24; [-1, -5]
21:00:19; Anip24; [-1, -3]
21:00:24; Anip24; [-2, -1]
21:05:31; Anip24; [-1, -1]
21:05:34; Anip24; [-1, -2]
21:05:39; Anip24; [-1, -2]
21:05:44; Anip24; [-1, -2]
21:05:49; Anip24; [-1, -2]
21:05:54; Anip24; [-1, -2]
21:20:06; Anip24; [-2, -1]
21:20:11; Anip24; [-1, -2]
21:20:16; Anip24; [-1, -4]
21:20:23; Anip24; [-1, -10]
21:20:29; Anip24; [-2, -13]
21:20:35; Anip24; [-2, -13]
21:20:40; Anip24; [-2, -13]
21:20:46; Anip24; [-2, -13]
21:20:52; Anip24; [-1, -13]
21:20:58; Anip24; [-2, -13]
21:21:03; Anip24; [-2, -13]
21:21:09; Anip24; [-2, -13]
21:21:14; Anip24; [-2, -13]
21:21:19; Anip24; [-2, -13]
21:21:24; Anip24; [-2, -13]
21:21:29; Anip24; [-2, -13]
21:21:37; Anip24; [-2, -13]
21:21:44; Anip24; [-2, -13]
21:21:51; Anip24; [-2, -13]
21:21:51; Gangmaster_2014; [-2, -1]
21:21:57; Anip24; [-2, -13]
21:21:57; Gangmaster_2014; [-1, -1]
21:22:02; Anip24; [-2, -13]
21:22:02; Gangmaster_2014; [-1, -1]
21:22:06; Anip24; [-2, -13]
21:22:06; Gangmaster_2014; [-2, -1]
21:22:11; Anip24; [-2, -13]
21:22:11; Gangmaster_2014; [-1, -3]
21:22:16; Anip24; [-2, -13]
21:22:16; Gangmaster_2014; [-1, -5]
21:22:21; Anip24; [-2, -13]
21:22:21; Gangmaster_2014; [-2, -6]
21:22:26; Anip24; [-2, -13]
21:22:26; Gangmaster_2014; [-2, -7]
21:22:31; Anip24; [-2, -13]
21:22:31; Gangmaster_2014; [-1, -8]
21:22:36; Anip24; [-2, -13]
21:22:36; Gangmaster_2014; [0, -8]
21:22:41; Anip24; [-2, -13]
21:22:41; Gangmaster_2014; [0, -10]
21:22:46; Anip24; [-2, -13]
21:22:46; Gangmaster_2014; [-1, -12]
21:22:51; Anip24; [-2, -13]
21:22:51; Gangmaster_2014; [-1, -12]
21:22:57; Anip24; [-2, -13]
21:22:57; Gangmaster_2014; [-1, -13]
21:23:01; Anip24; [-1, -12]
21:23:01; Gangmaster_2014; [-1, -13]
21:23:06; Anip24; [-1, -12]
21:23:06; Gangmaster_2014; [-1, -13]
21:23:11; Anip24; [-1, -13]
21:23:11; Gangmaster_2014; [-1, -12]
21:23:16; Anip24; [-1, -13]
21:23:16; Gangmaster_2014; [-1, -12]
21:23:21; Anip24; [-2, -13]
21:23:21; Gangmaster_2014; [-1, -12]
21:23:26; Anip24; [-2, -13]
21:23:26; Gangmaster_2014; [-1, -12]
21:23:31; Anip24; [-1, -12]
21:23:31; Gangmaster_2014; [-2, -13]
21:23:36; Anip24; [-1, -12]
21:23:36; Gangmaster_2014; [-1, -13]
21:23:41; Anip24; [-1, -12]
21:23:41; Gangmaster_2014; [-2, -12]
21:23:46; Anip24; [-1, -12]
21:23:46; Gangmaster_2014; [-2, -12]
21:23:52; Anip24; [-1, -12]
21:23:52; Gangmaster_2014; [-2, -12]
21:23:56; Gangmaster_2014; [-2, -12]
21:24:01; Gangmaster_2014; [-2, -13]
21:24:06; Gangmaster_2014; [-2, -13]
21:24:11; Gangmaster_2014; [-2, -13]
21:24:16; Gangmaster_2014; [-1, -12]
21:24:22; Gangmaster_2014; [-1, -12]
21:24:26; Gangmaster_2014; [-2, -12]
21:24:31; Gangmaster_2014; [-2, -12]
21:24:36; Gangmaster_2014; [-2, -13]
21:24:41; Gangmaster_2014; [-2, -13]
21:24:46; Gangmaster_2014; [-2, -13]
21:24:51; Gangmaster_2014; [-3, -13]
21:24:56; Gangmaster_2014; [-3, -13]
21:25:01; Gangmaster_2014; [-3, -13]
21:25:06; Gangmaster_2014; [-2, -13]
21:31:57; Anip24; [-2, -12]
21:32:10; Anip24; [-2, -12]
21:32:10; Gangmaster_2014; [-2, -13]
21:32:14; Anip24; [-2, -12]
21:32:14; Gangmaster_2014; [-2, -12]
21:32:19; Anip24; [-2, -12]
21:32:19; Gangmaster_2014; [-2, -13]
21:32:24; Anip24; [-2, -12]
21:32:24; Gangmaster_2014; [-2, -13]
21:32:29; Anip24; [-2, -12]
21:32:29; Gangmaster_2014; [-1, -12]
21:32:34; Anip24; [-2, -12]
21:32:34; Gangmaster_2014; [-1, -12]
21:32:39; Anip24; [-1, -12]
21:32:39; Gangmaster_2014; [-1, -12]
21:32:44; Anip24; [-1, -12]
21:32:44; Gangmaster_2014; [-2, -12]
21:32:49; Anip24; [0, -12]
21:32:49; Gangmaster_2014; [-1, -12]
21:32:54; Anip24; [0, -13]
21:32:54; Gangmaster_2014; [0, -12]
21:32:59; Anip24; [-1, -13]
21:32:59; Gangmaster_2014; [-1, -13]
21:33:04; Anip24; [-1, -14]
21:33:04; Gangmaster_2014; [-1, -13]
21:33:09; Anip24; [-1, -14]
21:33:09; Gangmaster_2014; [-1, -13]
21:33:14; Anip24; [-1, -15]
21:33:14; Gangmaster_2014; [0, -13]
21:33:19; Anip24; [-1, -15]
21:33:19; Gangmaster_2014; [0, -13]
21:33:24; Anip24; [0, -16]
21:33:24; Gangmaster_2014; [0, -13]
21:33:29; Anip24; [1, -17]
21:33:29; Gangmaster_2014; [0, -13]
21:33:34; Anip24; [1, -17]
21:33:34; Gangmaster_2014; [0, -13]
21:33:39; Anip24; [1, -16]
21:33:39; Gangmaster_2014; [0, -13]
21:33:44; Anip24; [1, -16]
21:33:44; Gangmaster_2014; [0, -13]
21:33:49; Anip24; [0, -15]
21:33:49; Gangmaster_2014; [0, -13]
21:33:54; Anip24; [0, -14]
21:33:54; Gangmaster_2014; [-1, -13]
21:33:59; Anip24; [-1, -13]
21:33:59; Gangmaster_2014; [0, -13]
21:34:04; Anip24; [-1, -13]
21:34:04; Gangmaster_2014; [0, -13]
21:34:09; Anip24; [-2, -13]
21:34:09; Gangmaster_2014; [-1, -13]
21:34:14; Anip24; [-2, -13]
21:34:14; Gangmaster_2014; [-2, -13]
21:34:19; Klyze; [-2, -1]
21:34:19; Anip24; [-2, -12]
21:34:19; Gangmaster_2014; [-2, -13]
21:34:24; Klyze; [-1, -2]
21:34:24; Anip24; [-2, -13]
21:34:24; Gangmaster_2014; [-2, -12]
21:34:29; Klyze; [-1, -5]
21:34:29; Anip24; [-1, -12]
21:34:29; Gangmaster_2014; [-2, -13]
21:34:34; Klyze; [-1, -5]
21:34:34; Anip24; [-1, -12]
21:34:34; Gangmaster_2014; [-2, -13]
21:34:39; Klyze; [0, -7]
21:34:39; Anip24; [-1, -12]
21:34:39; Gangmaster_2014; [-1, -12]
21:34:44; Klyze; [0, -9]
21:34:44; Anip24; [-2, -13]
21:34:44; Gangmaster_2014; [-2, -13]
21:34:49; Klyze; [0, -11]
21:34:49; Anip24; [-2, -13]
21:34:49; Gangmaster_2014; [-2, -13]
21:34:54; Klyze; [-1, -12]
21:34:54; Anip24; [-2, -13]
21:34:59; Klyze; [-1, -12]
21:35:04; Klyze; [-1, -12]
21:35:09; Klyze; [-1, -13]
21:39:46; Klyze; [16, -5]
21:39:52; Klyze; [15, -5]
21:39:56; Klyze; [15, -4]
21:40:01; Klyze; [15, -5]
21:40:06; Klyze; [15, -7]
21:40:11; Klyze; [15, -8]
21:40:16; Klyze; [14, -9]
21:40:21; Klyze; [13, -11]
21:40:26; Klyze; [11, -11]
21:40:31; Klyze; [10, -11]
21:40:36; Klyze; [10, -11]
21:40:41; Klyze; [9, -10]
21:40:46; Klyze; [8, -9]
21:40:51; Klyze; [7, -8]
21:40:56; Klyze; [5, -8]
21:41:01; Klyze; [5, -8]
21:41:06; Klyze; [4, -8]
21:41:11; Klyze; [3, -9]
21:41:16; Klyze; [1, -9]
21:41:21; Klyze; [1, -9]
21:41:26; Klyze; [0, -10]
21:41:26; Klyze; [-2, -13]
21:41:31; Klyze; [-1, -12]
21:41:31; Klyze; [-1, -12]
21:41:36; Klyze; [-1, -13]
21:41:36; Klyze; [-1, -12]
21:41:41; Klyze; [-1, -13]
21:41:41; Klyze; [-1, -13]
21:41:46; Klyze; [-1, -12]
21:41:46; Klyze; [-1, -13]
21:41:51; Klyze; [-1, -12]
21:41:56; Klyze; [0, -10]
21:42:01; Klyze; [0, -8]
21:42:06; Klyze; [0, -7]
21:42:11; Klyze; [-1, -5]
21:42:16; Klyze; [-1, -4]
21:42:21; Klyze; [-1, -2]
21:42:26; Klyze; [-2, -2]
21:42:31; Klyze; [-1, -1]
21:44:01; Klyze; [-1, -13]
21:44:06; Klyze; [0, -11]
21:44:11; Klyze; [0, -10]
21:44:16; Klyze; [1, -9]
21:44:21; Klyze; [2, -9]
21:44:26; Klyze; [4, -8]
21:44:31; Klyze; [6, -8]
21:44:36; Klyze; [6, -8]
21:44:41; Klyze; [7, -8]
21:44:46; Klyze; [8, -9]
21:44:51; Klyze; [9, -10]
21:44:56; Klyze; [10, -11]
21:45:01; Klyze; [11, -11]
21:45:06; Klyze; [13, -11]
21:45:11; Klyze; [14, -9]
21:45:16; Klyze; [15, -8]
21:45:21; Klyze; [15, -6]
21:45:26; Klyze; [16, -5]
