17:37:23; legoDBuddy; [-1, -1]
17:37:27; legoDBuddy; [-1, -1]
17:37:32; legoDBuddy; [-1, -1]
17:37:37; legoDBuddy; [-1, -1]
17:37:42; legoDBuddy; [-1, -1]
17:37:47; legoDBuddy; [-1, -1]
17:37:52; legoDBuddy; [-1, -1]
17:37:57; legoDBuddy; [-1, -1]
17:38:02; legoDBuddy; [-1, -1]
17:38:07; legoDBuddy; [-1, -1]
17:38:12; legoDBuddy; [-1, -1]
17:38:17; legoDBuddy; [-2, -2]
17:38:22; legoDBuddy; [-2, -5]
17:38:27; legoDBuddy; [-2, -7]
17:38:32; legoDBuddy; [-2, -9]
17:38:37; legoDBuddy; [-2, -9]
17:38:42; legoDBuddy; [-2, -11]
17:38:47; legoDBuddy; [-2, -11]
17:38:52; legoDBuddy; [-2, -11]
17:38:57; legoDBuddy; [-2, -11]
17:39:02; legoDBuddy; [-2, -11]
17:39:07; legoDBuddy; [-2, -11]
17:39:12; legoDBuddy; [-1, -11]
17:39:17; legoDBuddy; [-2, -11]
17:39:22; legoDBuddy; [-2, -11]
17:39:27; legoDBuddy; [-2, -11]
17:39:32; legoDBuddy; [-2, -11]
17:39:37; legoDBuddy; [-2, -11]
17:39:42; legoDBuddy; [-2, -11]
17:39:47; legoDBuddy; [-2, -11]
17:39:52; legoDBuddy; [-2, -11]
17:39:57; legoDBuddy; [-2, -12]
17:40:02; legoDBuddy; [-2, -12]
17:40:07; legoDBuddy; [-2, -12]
17:40:12; legoDBuddy; [-2, -12]
17:40:17; legoDBuddy; [-2, -12]
17:40:22; legoDBuddy; [-2, -12]
17:40:27; legoDBuddy; [-2, -12]
17:40:32; legoDBuddy; [-2, -12]
17:40:37; legoDBuddy; [-2, -12]
17:40:42; legoDBuddy; [-2, -12]
17:40:47; legoDBuddy; [-2, -12]
17:40:52; legoDBuddy; [-2, -12]
17:40:57; legoDBuddy; [-2, -12]
17:41:02; legoDBuddy; [-2, -12]
17:41:07; legoDBuddy; [-2, -12]
17:41:12; legoDBuddy; [-2, -12]
17:41:17; legoDBuddy; [-2, -12]
17:41:22; legoDBuddy; [-2, -13]
17:41:27; legoDBuddy; [-2, -13]
17:41:32; legoDBuddy; [-1, -13]
17:41:37; legoDBuddy; [-1, -13]
17:41:42; legoDBuddy; [-2, -13]
17:41:47; legoDBuddy; [-2, -13]
17:41:52; legoDBuddy; [-2, -13]
17:41:57; legoDBuddy; [-2, -13]
17:42:02; legoDBuddy; [-2, -13]
17:42:07; legoDBuddy; [-2, -13]
17:42:12; legoDBuddy; [-2, -13]
17:42:17; legoDBuddy; [-2, -13]
17:42:22; legoDBuddy; [-2, -13]
17:42:27; legoDBuddy; [-2, -14]
17:42:32; legoDBuddy; [-2, -14]
17:42:37; legoDBuddy; [-2, -14]
17:42:42; legoDBuddy; [-2, -14]
17:42:47; legoDBuddy; [-2, -14]
17:42:52; legoDBuddy; [-2, -14]
17:42:57; legoDBuddy; [-2, -14]
17:43:02; legoDBuddy; [-2, -14]
17:43:07; legoDBuddy; [-2, -15]
17:43:12; legoDBuddy; [-2, -15]
17:43:17; legoDBuddy; [-2, -15]
17:43:22; legoDBuddy; [-2, -15]
17:43:27; legoDBuddy; [-2, -15]
17:43:32; legoDBuddy; [-2, -15]
17:43:37; legoDBuddy; [-2, -16]
17:43:42; legoDBuddy; [-2, -16]
17:43:47; legoDBuddy; [-2, -16]
17:43:52; legoDBuddy; [-2, -16]
17:43:57; legoDBuddy; [-2, -16]
17:44:02; legoDBuddy; [-2, -16]
17:44:07; legoDBuddy; [-2, -16]
17:44:12; legoDBuddy; [-2, -16]
17:44:17; legoDBuddy; [-2, -16]
17:44:22; legoDBuddy; [-2, -16]
17:44:27; legoDBuddy; [-2, -16]
17:44:32; legoDBuddy; [-2, -16]
17:44:37; legoDBuddy; [-2, -16]
17:44:42; legoDBuddy; [-2, -16]
17:44:47; legoDBuddy; [-2, -16]
